S_ID,Strategy / Capability,Action,Description,Scale,Category,Category2,Strategy_Type,Adj_Weight,Strategy_Type2,R1A,R1B,R2A,R2B,R3A,R3B,R4A,R4B,R5A,R5B,Rcount,Rs
60,Energy Retrofit Projects (Installation Level),Implement Energy Retrofit Projects,"An installation’s energy performance should be improved if deficiencies are identified in order to optimize the consumption of resources. Energy retrofits such as installing better controls and scheduling, motor upgrades, and variable frequency drives on fans and pumps can improve energy performance. Reducing energy demand and improving control mitigate the strain on energy resources, thus improving critical load sustainment capacity and reducing the need for system capacity upgrades.",Installation,ECMs,NULL,Building Retrofits,2,Building Retrofits,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"R3A "
61,Energy Management Protocol,Establish Energy Management Protocol,"Powering noncritical loads throughout the installation can decrease the amount of time that power is sustained during outages. Adopting installation-wide procedures that concentrate on reducing resource use increases the sustainment period during outage events. Following an independent third-party-validated energy management protocol such as ISO 50001, Energy Management, can benefit consistency and quality in the application of installation-wide procedures. Procedures can include a clearly defined response to identified system performance issues and energy education for tenants. This strategy is more effective if implemented in conjunction with an EMCS.",Installation,Energy Management,NULL,Emergency Protocols,3,Emergency Protocols,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,"R3A R4A "
62,Energy Demand Forecasting,Implement Electricity Demand Forecasting,"Forecasting energy demand allows for proactive adjustment to system operation and resource allocation to ensure energy cost-effectiveness. Establishing an effective mitigation plan can reduce identified gaps between forecasted load and available resources. Operationalizing energy resources for load balancing and islanding is captured in Strategies 116 and 127 (District Microgrid and Installation Microgrid, respectively).",Installation,ECMs,NULL,Energy Management,2,Energy Management,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,2,"R3A R3B "
63,Energy Demand Management - Peaker Plant,Install a Peaker Plant for Energy Demand Management,"Installations may want backup power but may not be able to secure financing to acquire it. Installing a peaker plant can provide cost savings to the installation and increase sustainment power capacity. Peaker plant generators are typically operated intermittently to reduce load on utility transmission lines, especially during peak times with high energy costs. This strategy focuses on energy cost savings but can be operationalized to provide power to critical installation loads during outages through a combination with other strategies such as Strategy 79 (Access to Alternate/Renewable Generation during an Outage) or Strategy 127 (Installation Microgrid).",Installation,Energy Management,NULL,Energy Management,3,Energy Management,NULL,,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,2,"R2B R3A "
64,Energy Management and Control Systems (EMCS) (Installation Level),Install/Expand Energy Management and Control Systems (Including Data Logging),Rapid response time and sustainment of an installation’s critical loads must be consistent. An EMCS allows monitoring and control of energy systems at the installation level at every major facility and can enhance response time to system issues and increase sustainment time by curtailing noncritical loads.,Installation,Energy Management,NULL,Energy Management,3,Energy Management,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,3,"R1A R3A R4B "
65,Submetering on Power Systems (Installation Level),Install Submetering on Power Systems (Installation Level),Power systems should be able to consistently sustain building energy demands. Monitoring a building’s energy system performance allows localized response to issues and optimization opportunities. This strategy identifies equipment that is compromised and resources whose consumption could be reduced. This strategy focuses on power monitoring at an installation level (master meters) and building-level meters across installation facilities.,Installation,Energy Management,NULL,Energy Management,2,Energy Management,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,3,"R1A R3A R4B "
66,Electrical Energy Storage (Building Level),Install Energy Storage (Building Level),"Buildings are subject to an outage during unpredictable events. Having the capability to store electrical energy (e.g., battery backup) at the building level can provide power during an outage and reduce the peak demand of the facility during “blue-sky” conditions. Backup power can help the facility sustain critical operations and extend the fuel supply for backup generators. Reducing peak demand can reduce utility energy costs and lower the peak design requirements for facility infrastructure.",Building,Energy Storage,NULL,Energy Storage,3,Energy Storage,,,NULL,1,NULL,1,NULL,NULL,NULL,NULL,3,"R2B R3A R3B "
67,Fuel Storage Capacity (Building Level),Add/Increase Fuel Storage Capacity (Building Level),"In a widespread and prolonged outage, the installation may face constrained refueling of generators. Ensuring adequate on-site storage of fuel (in most cases diesel) can help the facility sustain power supply during prolonged outages and when there are potential shortages in diesel supply.",Building,Energy Storage,NULL,Increased System Capacity,3,Increased System Capacity,,,NULL,1,NULL,1,NULL,NULL,NULL,NULL,2,"R2B R3B "
68,Electrical Energy Storage (District Level),Install Energy Storage (District Level),"Providing backup power at a district level may serve more facilities more effectively than providing backup power at the building level. If the district-level electrical infrastructure is configured appropriately, installing battery energy storage at a district substation to serve a group of buildings at the district level can be a more effective way to supply backup power than at the building level. For example, an energy storage system can provide backup power to a district substation and energize all feeds served by that substation from a single location.",District,Energy Storage,NULL,Energy Storage,3,Energy Storage,,,NULL,1,NULL,1,NULL,NULL,NULL,NULL,3,"R2B R3A R3B "
69,Centralized Fuel Storage Capacity (District Level),Add/Increase Centralized Fuel Storage Capacity (District Level),"Diesel fuel storage may be appropriate for districts that are pursuing backup generation at the district level. Installing district-level storage can be an effective supplement to installation-level fuel storage and provide additional sustainment capacity to facilities during a widespread and/or prolonged outage. This strategy can be particularly effective, for example, in a district with facilities with high backup power loads, high diesel consumption rates, and/or off-base diesel refueling contracts.",District,Energy Storage,NULL,Increased System Capacity,3,Increased System Capacity,,,NULL,1,NULL,1,NULL,NULL,NULL,NULL,2,"R2B R3B "
70,Centralized Heating Fuel Storage Capacity (Installation Level),Add/Increase Centralized Heating Fuel Storage Capacity (Installation Level),"Fuel supply that originates off base may be cut off during an outage. An installation-level backup heating fuel supply during a regional outage at bases where heating is a critical energy demand can increase the sustainment period. Increasing on-site storage can mitigate supply availability risk and can be accomplished at an installation level by, for example, installing one or more storage tanks at a location that is accessible by all critical facilities.",Installation,Energy Storage,NULL,Centralized Systems,3,Centralized Systems,,,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,1,"R3B "
71,Electrical Energy Storage (Installation Level),Install Energy Storage (Installation Level),"Installing electrical energy storage at a primary substation can serve the entire installation. If the electrical infrastructure is configured appropriately, battery energy storage at the installation level can be a more effective way to supply backup power than at the building level and can also be used for demand management during normal operations and to provide cost savings. This strategy can be operationalized for load balancing and islanding by adding Strategy 127 (Installation Microgrid).",Installation,Energy Storage,NULL,Energy Storage,3,Energy Storage,,,NULL,1,NULL,1,NULL,NULL,NULL,NULL,3,"R2B R3A R3B "
72,Centralized Fuel Storage Capacity (Installation Level),Add/Increase Centralized Fuel Storage Capacity (Installation Level),"Fuel supply, including diesel, propane, and LNG, that originates off base can be disrupted during a regional event. Sustaining the power supply from backup generators in an extended outage requires a steady supply of fuel (in most instances diesel). Increasing on-site fuel storage can mitigate supply availability risk and can be accomplished at an installation level by, for example, installing one or more storage tanks at a location that is accessible for all critical facilities.",Installation,Energy Storage,NULL,Increased System Capacity,3,Increased System Capacity,,,NULL,1,NULL,1,NULL,NULL,NULL,NULL,2,"R2B R3B "
73,Alternate/Renewable Energy Generation (Building Level),Install Alternative/Renewable Energy Generation (Building Level),"Traditional energy sources (e.g., diesel, gas, coal) rely on supply chains and may be subject to failure. Alternate/renewable energy reduces reliance on upstream supply chains and can continue to provide electricity even when there is a disruption to the conventional supply. Installing alternate/‌‌renewable energy at the building level can help improve facility sustainment capacity for critical loads and offset reliance on diesel supply. Additionally, alternate/renewable energy can lower utility energy costs for the installation. Examples of building-level alternate/renewable energy are solar photovoltaic (PV) and fuel cells. Operationalizing energy generation for load balancing and islanding is captured in Strategies 116 and 127 (District Microgrid and Installation Microgrid, respectively).",Building,Energy Supply,NULL,Alternative System or Fuel,3,Alternative System or Fuel,,,NULL,1,NULL,NULL,NULL,1,NULL,NULL,2,"R2B R4B "
74,Alternate/Renewable Energy Generation (District Level),Install Alternative/Renewable Energy Generation (District Level),"Traditional energy sources (e.g., diesel, natural gas, coal) rely on supply chains and may be subject to failure. Alternate/renewable energy reduces reliance on upstream supply chains. Configuring district-level electrical infrastructure allows alternate/renewable energy to help power the entire district during a grid power outage, reducing reliance on diesel supply for critical power loads, and lowering utility energy costs for the installation. Examples of district-level alternate/renewable energy are solar PV, fuel cells, waste-to-energy plants, wind turbines, and combined heat and power. Operationalizing energy generation for load balancing and islanding is captured in Strategies 116 and 127 (District Microgrid and Installation Microgrid, respectively).",District,Energy Supply,NULL,Alternative System or Fuel,3,Alternative System or Fuel,,,NULL,1,NULL,NULL,NULL,1,NULL,NULL,2,"R2B R4B "
75,Alternate/Renewable Energy Generation (Installation Level),Install Alternative/Renewable Energy Generation (Installation Level),"Traditional energy sources (e.g., diesel, gas, coal) rely on supply chains and may be subject to failure. Installing alternate/renewable energy offsets reliance on upstream supply chains. Additionally, alternate/renewable energy can lower utility energy costs for the installation. Examples of installation-level alternate/renewable energy include solar PV and wind turbines. Operationalizing energy generation for load balancing and islanding is captured in Strategies 116 and 127 (District Microgrid and Installation Microgrid, respectively).",Installation,Energy Supply,NULL,Alternative System or Fuel,3,Alternative System or Fuel,,,NULL,1,NULL,NULL,NULL,1,NULL,NULL,2,"R2B R4B "
76,Redundant Fuel Supply Routes (Installation Level),Establish Redundant Fuel Supply Routes (Installation Level),"If the installation has on-base fuel-supply infrastructure (e.g., pipelines between storage areas), installing redundant on-site fuel supply routes provides an alternate supply path in case the primary supply is disrupted.",Installation,Energy Supply,NULL,Fuel Supply Routes,3,Fuel Supply Routes,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"R2A "
77,Alternate Supply Paths (Fuel),Mitigate Single Points of Failure / Loop Lines (Fuel),"A single point of failure in the fuel supply means that failure at one point causes disruption to all demand downstream. This strategy may include, for example, a redundant storage tank, redundant supply pipelines (if present), looped fuel delivery lines, and fuel pumps.",Installation,Energy Supply,NULL,Single Points of Failure,5,Single Points of Failure,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"R2A "
78,Alternate Supply Paths (Natural Gas),Mitigate Single Points of Failure / Loop Lines (Gas),"A single point of failure in the natural gas supply means that failure at one point causes disruption to all downstream service. Configuring the gas supply to be able to reroute mitigates the impact of single points of failure. Examples are interconnected systems (i.e., ability to back feed) and looped configuration (i.e., no dead ends).",Installation,Energy Supply,NULL,Single Points of Failure,5,Single Points of Failure,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"R2A "
79,Access to Alternate/Renewable Generation during an Outage,Remove Barriers to Alternative On-Site Generation,"Installations may have alternate/renewable energy systems available on site or nearby, but they may not be operated in such a way that allows the installation to use them directly. Removing administrative or technical barriers can allow the full use of existing alternate or renewable on-site generation assets (e.g., establishing agreements and modifying circuits to allow existing utility-owned alternate generation to serve the installation during an outage).",Installation,Energy Supply,NULL,Alternative System or Fuel,3,Alternative System or Fuel,,,NULL,1,NULL,1,NULL,1,NULL,NULL,3,"R2B R3B R4B "
80,Alternate/Renewable Energy Generation (Off Site),Install Alternative/Renewable Energy Generation (Off Site),"Traditional energy sources (e.g., diesel, natural gas, coal) rely on supply chains and may be subject to failure. Installing alternate/renewable energy mitigates reliance on upstream supply chains and can continue to provide facility sustainment capacity even during a wider grid outage. Additionally, alternate/renewable energy can lower utility energy costs for the installation. Examples of off-site alternate/renewable energy are biogas, solar PV, wind turbines, and small-scale hydroelectric power.",Off-site,Energy Supply,NULL,Alternative System or Fuel,3,Alternative System or Fuel,,,NULL,1,NULL,NULL,NULL,1,NULL,NULL,2,"R2B R4B "
81,Redundant Fuel Supply Routes (Off Site),Establish Redundant Fuel Supply Routes (Off-Site Level),"Off-site supply routes are subject to disruption and cannot sustain critical loads until the primary supply is restored. Providing a redundant fuel supply route from off site to the installation can help mitigate this issue. For example, an installation may be able to supply fuel via truck, rail, or barge. A redundant fuel supply route can include additional infrastructure, availability guarantees in contracts, or alternate fuel contractors.",Off-site,Energy Supply,NULL,Fuel Supply Routes,3,Fuel Supply Routes,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"R2A "
82,Preventative Maintenance for Heating and Cooling Equipment (Building Level),Conduct Preventative Maintenance for Heating and Cooling Equipment (Building Level),"While workforce constraints can limit an installation’s capacity for preventative maintenance of infrastructure systems, deferring maintenance increases the likelihood that systems or components will fail before the end of their design useful life and compromise critical resource supply. Preventative maintenance, which includes routine procedures before components fail, can significantly enhance the lifespan and lifecycle performance of the equipment. This strategy is applicable to heating and cooling systems at the building level.",Building,Maintenance,NULL,Personnel Capacity,2,Personnel Capacity,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,"R1B R5A "
83,Preventative Maintenance for Heating and Cooling Equipment (District Level),Conduct Preventative Maintenance for Heating and Cooling Equipment (District Level),"While workforce constraints can limit an installation’s capacity for preventative maintenance of infrastructure systems, deferring maintenance increases the likelihood that systems or components will fail before the end of their useful design life and compromise critical resource supply. Preventative maintenance, which includes routine maintenance before components fail, can significantly enhance the lifespan and lifecycle performance of equipment. The strategy is applicable to heating and cooling systems at the district level.",District,Maintenance,NULL,Personnel Capacity,2,Personnel Capacity,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,"R1B R5A "
84,Preventative Maintenance for Power Systems (District Level),Conduct Preventative Maintenance for Power Systems (District Level),"While workforce constraints can limit an installation’s capacity for preventative maintenance of infrastructure systems, deferring maintenance increases the likelihood that systems or components will fail before the end of their useful design life and compromise critical resource supply. Preventative maintenance, which includes routine maintenance before components fail, can significantly enhance the lifespan and lifecycle performance of equipment. This strategy is applicable to power systems at the district level.",District,Maintenance,NULL,Personnel Capacity,2,Personnel Capacity,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,"R1B R5A "
85,Preventative Maintenance for Water Systems (District Level),Conduct Preventative Maintenance for Water Systems (District Level),"While workforce constraints can limit an installation’s capacity for preventative maintenance of infrastructure systems, deferring maintenance increases the likelihood that systems or components will fail before the end of their useful design life and compromise critical resource supply. Preventative maintenance, which includes routine maintenance before components fail, can significantly enhance the lifespan and lifecycle performance of equipment. This strategy is applicable to water systems at the district level.",District,Maintenance,NULL,Personnel Capacity,2,Personnel Capacity,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,"R1B R5A "
86,"Operations, Maintenance, and Testing (OM&T) Protocol","Establish an Operations, Maintenance and Testing (OM&T) Protocol","The safety and reliability of a power system depends largely on its OM&T strategy. This strategy includes the development of an installation-specific, comprehensive OM&T protocol for energy resilience systems and infrastructure as outlined in Energy Resilience: Operations, Maintenance, & Testing (OM&T) Strategy and Implementation Guidance from the Office of the Assistant Secretary of Defense (DoD, 2017b).",Installation,Maintenance,NULL,Emergency Protocols,5,Emergency Protocols,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,"R4A R5B "
87,UPS Maintenance and Testing Protocol,Implement a UPS Maintenance and Testing Protocol,"Some UPSs fail during an outage as a result of the lack of a clear maintenance and testing protocol. Currently, most UPS maintenance and testing protocols are established by the mission owner the UPS is supporting, but clarity on responsibility may be lacking. This strategy involves establishing responsibility and clear protocols for maintenance and testing of all UPSs at the installation level such that none are unintentionally overlooked.",Building,Maintenance,NULL,Emergency Protocols,4,Emergency Protocols,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,"R4A R5B "
88,Alternate Wastewater Connection,Install an Alternative Wastewater Connection,"An alternate domestic wastewater connection includes a connection to a nearby municipal wastewater treatment system. For installations relying exclusively on on-base treatment systems, implementing this strategy can ensure continued access to wastewater treatment in the event of failure.",Off-site,Water,NULL,Water Strategies,2,Personnel Capacity,NULL,,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,1,"R2B "
89,Electrical System Failure Forensics Capacity,Train Personnel to Be Able to Identify the Source of Power Disruption,"When a power system fails, the top priority is to repair it and restore power to critical functions. If the cause of the failure is not determined, the system may fail again. Addressing the need to determine the cause of a power system failure allows corrections to be made proactively at the source rather than reactively at the failure point.",Installation,Maintenance,NULL,Personnel Capacity,2,Personnel Capacity,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,"R4A R5A "
90,Personnel Training to Achieve Redundant Expertise,Provide Training to Personnel to Achieve Redundant Expertise,Effective maintenance and repair of energy systems are critical to ensuring that the systems operate as intended in an outage. The required expertise for this work is often limited to a small number of individuals. This strategy consists of implementing training and hiring practices to ensure that the expertise is available in case the personnel with primary responsibility are unavailable.,Installation,Maintenance,NULL,Personnel Capacity,3,Personnel Capacity,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,"R1A R4A R5A "
91,Preventative Maintenance for Heating and Cooling Equipment (Installation Level),Conduct Preventative Maintenance for Heating and Cooling Equipment (Installation Level),"While workforce constraints can limit an installation’s capacity for preventative maintenance of infrastructure systems, deferring maintenance increases the likelihood that systems or components will fail before the end of their design useful life and compromise critical resource supply. Preventative maintenance, which includes routine maintenance before components fail, can significantly enhance the lifespan and lifecycle performance of equipment. This strategy is applicable to heating and cooling systems at the installation level.",Installation,Maintenance,NULL,Personnel Capacity,2,Personnel Capacity,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,"R1B R5A "
92,Preventative Maintenance for Power Systems (Installation Level),Conduct Preventative Maintenance for Power Systems (Installation Level),"While workforce constraints can limit an installation’s capacity for preventative maintenance of infrastructure systems, deferring maintenance increases the likelihood that systems or components will fail before the end of their useful design life and compromise critical resource supply. Preventative maintenance, which includes routine maintenance before components fail, can significantly enhance the lifespan and lifecycle performance of equipment. This strategy is applicable to power systems at the installation level.",Installation,Maintenance,NULL,Personnel Capacity,2,Personnel Capacity,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,"R1B R5A "
93,Preventative Maintenance for Water Systems (Installation Level),Conduct Preventative Maintenance for Water Systems (Installation Level),"While workforce constraints can limit an installation’s capacity for preventative maintenance of infrastructure systems, deferring maintenance increases the likelihood that systems or components will fail before the end of their useful design life and compromise critical resource supply. Preventative maintenance, which includes routine maintenance before components fail, can significantly enhance the lifespan and lifecycle performance of equipment. This strategy is applicable to water systems at the installation level.",Installation,Maintenance,NULL,Personnel Capacity,2,Personnel Capacity,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,"R1B R5A "
94,Provision of Master Access Keys to Repair Teams,Provide Master Access Keys to Repair Teams,Response and repair teams play an important role in responding to unpredictable events and assessing buildings after an event. Ensuring that the teams have access to facilities during recovery helps ensure that damage assessments are comprehensive and can help reduce recovery time after an outage.,Installation,Maintenance,NULL,Personnel Capacity,2,Personnel Capacity,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,"R4A R5A "
95,Critical Spares and Obsolescence Prevention,Maintain On-site Inventory of Critical and Limited Spare Parts,"Replacement parts for critical equipment can have long lead times for delivery or may no longer be available from the manufacturer. Maintaining an inventory of common replacement parts on site can significantly reduce repair and recovery times in a disruption. When applicable, an inventory can leverage central command structure between multiple installations to share stockpiles of common components.",Installation,Maintenance,NULL,Procurement,2,Procurement,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"R5B "
96,Standardization of Replacement Parts,Standardize Replacement Parts,Specialized replacement parts for critical equipment can have long lead times for delivery or may no longer be available from the manufacturer. Ensuring that equipment is using standard parts whenever possible can significantly reduce repair and recovery times in an event.,Installation,Maintenance,NULL,Procurement,2,Procurement,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"R5B "
97,Graceful or Phased Shutdown Procedures (Building Level),Establish Graceful Shutdown Procedures (Building Level),"During an unpredictable event, shutdown may be activated, but shutdown procedures may not have been established. For missions that can safely relocate or reduce operations in an outage, establishing graceful shutdown procedures (also called “phased” or “staged” shutdown procedures) can conserve resources and minimize damage to equipment. This strategy involves establishing graceful shutdown procedures at the building level if they do not exist.",Building,Other,NULL,Emergency Protocols,2,Emergency Protocols,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,"R1A R4A R5B "
98,Standardized Cybersecurity Authorization Protocol,Adopt Standardized Cybersecurity Authorization Protocol,Many strategies that improve energy resilience also increase the vulnerability of infrastructure systems to cyberattacks. This strategy focuses on adopting a standard procedure for all projects to ensure that they are compliant with all cybersecurity requirements.,Installation,Other,NULL,Cybersecurity,4,Cybersecurity,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"R1A "
99,Centralized Damage Assessment Database (Digital or Hardcopy),Create a Centralized Damage Assessment Database,Recovery efforts can be hampered by incomplete or conflicting damage assessment data. Centralizing the assessment database can allow all personnel to use the same data/format and more effectively contribute to recovery efforts.,Installation,Other,NULL,Emergency Protocols,2,Emergency Protocols,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,"R1A R4A "
100,Defined Repair and Recovery Communication Protocols,Establish Defined Repair and Recovery Communication Protocols,Effective communication is critical to the success of a disaster response team. This strategy involves clearly defining the alternate communication methods and their priority in the development of a communication protocol.,Installation,Other,NULL,Emergency Protocols,3,Emergency Protocols,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"R4A "
101,Graceful or Phased Shutdown Procedures (Installation Level),Establish Graceful Shutdown Procedures (Installation Level),"During an unpredictable event, shutdown may be activated, but shutdown procedures may not have been established. For missions that can safely relocate or reduce operations in an outage, establishing graceful shutdown procedures (also called “phased” or “staged” shutdown procedures) can conserve resources and minimize damage to equipment. This strategy involves establishing graceful shutdown procedures at the installation level if they do not exist.",Installation,Other,NULL,Emergency Protocols,2,Emergency Protocols,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,"R1A R4A R5B "
102,Multidisciplinary Disaster Assistance Response Teams (DARTs) Using Standardized Checklists,Establish Multidisciplinary DARTs Using Standardized Checklists,"DARTs conduct preliminary damage assessments after an event. Using multidisciplinary teams (e.g., electrical, civil, and mechanical engineers) and developing standardized checklists can streamline recovery efforts and maximize the quality of assessments.",Installation,Other,NULL,Emergency Protocols,3,Emergency Protocols,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,"R4A R5A "
103,Remote Alerts for Critical Infrastructure Assets,Enable Remote Alerts for Infrastructure Assets,"Alerts are not always distributed quickly and/or to appropriate personnel during a disruption. Remote alerts enable personnel to monitor critical infrastructure and also identify and respond to system issues more quickly and directly than localized alerts. Alerts should be tied to a cybersecure centralized monitoring station (such as the Base Defense Operations Center [BDOC]), reducing the recovery time from a disruption.",Installation,Other,NULL,Emergency Protocols,4,Emergency Protocols,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,3,"R1A R4B R5A "
104,Repair and EOC Shift Alignment and Coordination,Coordinate and Align Repair and EOC Shifts,Aligning the EOC and repair teams’ schedules can streamline communications and improve coordination during recovery efforts.,Installation,Other,NULL,Emergency Protocols,3,Emergency Protocols,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,"R4A R5A "
105,Power and Fuel Line Vulnerability/Resiliency Assessment,"Conduct a Power, Water, and Fuel Line Vulnerability Assessment",Infrastructure systems may sometimes have a single point of failure that is unassessed. Conducting a comprehensive vulnerability/resiliency assessment of energy infrastructure can identify potential weaknesses that need to be resolved to ensure mission sustainment during outages. The results of the assessment should guide future work to improve the resiliency of power and fuel systems.,Installation,Other,NULL,Infrastructure Hardening,2,Infrastructure Hardening,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,"R1A R1B R2A "
106,Deployable Emergency Pipeline,Procure Deployable Emergency Pipeline,"Critical loads may not be sustained during an outage because of insufficient water or fuel delivery. When the mission capability exists on base, ensuring that a deployable fuel or water emergency pipeline is available can support delivery to critical loads in an outage.",Off-site,Other,NULL,Procurement,1,Procurement,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"R2A "
107,Fuel Procurement Contracts,Update Fuel Procurement Contracts,Existing base fuel delivery contracts may not include a guarantee of delivery or prioritized customer status. This strategy aims to add language to the procurement contract to ensure availability of fuel during a local event or shortage.,Installation,Other,NULL,Procurement,2,Procurement,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,"R4A R5A "
108,Contractor Emergency Availability Protocol (Energy),Establish Contractor Emergency Availability Protocol (Energy),"If some or all of an installation’s energy infrastructure is privatized, the contract or other supporting documentation should include provisions for the contractor’s responsibility in emergencies. This strategy includes specified response times to failures and priority status in disaster response.",Off-site,Other,NULL,Emergency Protocols,3,Emergency Protocols,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,"R4A R5A "
109,Alternate to Air Force Instruction (AFI) Critical Facility Mandate,Alternative to AFI Critical Facility Mandate,"Existing AFI requirements for assigning generators as real property do not consider some critical assets (e.g., gate facilities). In addition, generator sizing guidelines do not always allow the comfort HVAC system load to be considered critical and thus served by a backup generator. However, in some locations (e.g., Alaska), HVAC is critical to personnel safety and mission sustainment. Identifying an alternate compliance route or exemptions when warranted can address these gaps and considerations.",Off-site,Policy,NULL,Alternative System or Fuel,3,Alternative System or Fuel,,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,2,"R3B R5B "
110,Exceptions to Allow Single-Source Procurement,Exceptions to Allow Single-Source Procurement,"A wide variety of manufacturers of a given type of equipment can make it difficult to keep personnel sufficiently trained on operation, maintenance, and procurement of spare/replacement parts. For some equipment (e.g., generators), insufficient training degrades recoverability by contributing to the frequency and duration of equipment failure. This strategy resolves these challenges by exempting multi-manufacturer procurement requirements for certain types of equipment.",Off-site,Policy,NULL,Procurement,2,Procurement,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,"R5A R5B "
111,Adequate Electrical Circuit Condition (Building Level),Repair Existing Electrical Distribution Circuits (Building Level),"A facility may have an inadequate electrical circuit condition if areas within the building face repeated circuit breaker openings or exhibit other power reliability issues, including fire concern. Repairing electrical circuits in poor condition improves reliability and reduces the likelihood of mission degradation. Repair may include replacing all building circuits, breakers, transformers, switches, relays, fuses, and other safety devices before the equipment is 40 years old.",Building,Power Distribution,NULL,Infrastructure Hardening,4,Infrastructure Hardening,,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,2,"R1B R3B "
112,Alternate Supply Paths (Power) (Building Level),Mitigate Single Points of Failure / Loop Lines (Power),"A single point of failure in the electrical circuits at the building level means that failure at one point causes disruption to all downstream loads. At the building level, a single point of failure can be a single breaker panel, single transformer, or lone circuit serving critical loads. This strategy requires installing an alternate supply route or additional equipment.",Building,Power Distribution,NULL,Single Points of Failure,5,Single Points of Failure,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"R2A "
113,Redundant Electrical Feeder (Building Level),Connect Redundant Electrical Feeder (Building Level),"A primary feeder can be subject to failure during unpredictable events. Installing a redundant electrical feeder to a facility (preferably from a separate substation) allows power to be sustained when there is a failure in the primary feeder. A redundant electrical feeder means that the building served by the primary feeder or substation facility can sustain normal operations until the repair is made, reducing reliance on backup systems.",Building,Power Distribution,NULL,Single Points of Failure,5,Single Points of Failure,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"R2A "
114,Adequate Electrical Distribution Condition (District Level),Repair Existing Electrical Distribution Circuits (District Level),"The condition of a district’s power distribution system may be inadequate if sections of the system have repeated failure or reliability issues. Bringing the distribution system into adequate condition may include replacing aging (especially wooden) poles, replacing aging lines, and undergrounding lines where appropriate that is less than 40 years old, thereby mitigating the risk of fire, wind, wildlife, and physical damage.",District,Power Distribution,NULL,Infrastructure Hardening,5,Infrastructure Hardening,,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,2,"R1B R3B "
